name,comp_ip,power_ip,comp_outlet,rx_outlet,powertype,status
qraat-zero,10.0.0.55,10.0.0.56,1,2,netbooter,down
site1,localhost,,,,,up
site2,10.2.1.55,10.2.1.56,1,2,netbooter,down
site3,10.10.1.55,10.10.1.56,1,2,netbooter,down
site4,10.13.1.55,10.13.1.56,1,2,netbooter,down
site5,10.20.1.55,10.20.1.56,1,2,netbooter,down
site6,10.21.1.55,10.21.1.56,1,2,webpowerswitch,down
