name,comp_ip,power_ip,comp_outlet,rx_outlet,powertype,state,auto,schedule
site1,localhost,0.0.0.0,-1,-1,nil,active,auto,00:00-24:00
site2,10.2.1.55,10.2.1.56,1,2,pingbrother,down,auto,19:00-7:00
site10,10.10.1.55,10.10.1.56,1,2,pingbrother,down,auto,19:00-7:00
site13,10.13.1.55,10.13.1.56,1,2,pingbrother,down,auto,19:00-6:00
site20,10.20.1.55,10.20.1.56,1,2,pingbrother,down,auto,19:00-5:00
site21,10.21.1.55,10.21.1.56,1,2,pingbrother,down,auto,19:00-7:00
site39,10.39.1.55,10.39.1.56,1,2,pingbrother,down,auto,21:00-5:00
