est_id,t,power,good
320801114,1410721227.65018,-20.32,1
320801115,1410721229.79665,-20.34,1
320801116,1410721231.9901,-20.21,1
320801117,1410721234.09911,-20.33,1
320801911,1410721268.53492,-20.41,1
320801912,1410721270.69608,-20.41,1
320801913,1410721272.83746,-20.46,1
320801914,1410721274.99986,-20.48,1
320801915,1410721307.34839,-20.44,1
320801916,1410721309.51931,-20.33,1
320801917,1410721311.67618,-20.36,1
320801918,1410721313.83424,-20.22,1
320801919,1410721315.9916,-20.34,1
320801797,1410721348.42797,-20.41,1
320801798,1410721350.59538,-20.43,1
320801799,1410721352.76626,-20.41,1
320801800,1410721354.9376,-20.51,1
320801801,1410721357.10518,-20.33,1
320802569,1410721389.60367,-20.4,1
320802570,1410721391.7772,-20.27,1
320802571,1410721393.94319,-20.39,1
320802572,1410721396.11747,-20.36,1
320802573,1410721428.68461,-20.31,1
320802574,1410721429.04796,-25.93,0
320802575,1410721429.301,-28.53,0
320802576,1410721429.33673,-28.86,0
320802577,1410721429.37648,-28.73,0
320802578,1410721429.62837,-25.44,0
320802579,1410721430.85303,-20.5,1
320802580,1410721433.02347,-20.4,1
320802581,1410721435.19848,-20.36,1
320802582,1410721437.36544,-20.33,1
320802448,1410721469.99369,-20.25,1
320802449,1410721471.14556,-24.87,0
320802450,1410721471.41418,-27.43,0
320802451,1410721471.43795,-28.01,0
320802452,1410721471.45032,-28.84,0
320802453,1410721471.48324,-27.98,0
320802454,1410721471.51179,-27.8,0
320802455,1410721471.5278,-28.3,0
320802456,1410721471.59484,-28.7,0
320802457,1410721471.7557,-28.05,0
320802458,1410721472.21052,-20.27,1
320802459,1410721474.34574,-20.22,1
320802460,1410721476.5337,-20.25,1
320803196,1410721511.36741,-20.21,1
320803197,1410721513.54683,-20.29,1
320803198,1410721515.7187,-20.31,1
320803199,1410721517.90117,-20.21,1
320803200,1410721550.59143,-20.15,1
320803201,1410721552.7747,-20.2,1
320803202,1410721554.95591,-20.4,1
320803203,1410721557.1401,-20.26,1
320803204,1410721559.31711,-20.43,1
320803118,1410721592.07711,-20.34,1
320803119,1410721594.22667,-20.25,1
320803120,1410721596.41322,-20.26,1
320803121,1410721598.63295,-20.15,1
320803984,1410721631.3375,-20.43,1
320803985,1410721633.51685,-20.23,1
320803986,1410721635.71274,-20.48,1
320803987,1410721637.89238,-20.13,1
320803988,1410721640.07654,-20.28,1
320803989,1410721672.82525,-20.33,1
320803990,1410721675.00955,-20.21,1
320803991,1410721677.20434,-20.37,1
320803992,1410721679.38462,-20.42,1
320803799,1410721712.14942,-20.32,1
320803800,1410721714.36961,-20.3,1
320803801,1410721716.52748,-20.38,1
320803802,1410721718.73117,-20.27,1
320803803,1410721720.89119,-20.47,1
320804735,1410721753.66471,-20.27,1
320804736,1410721755.84613,-20.38,1
320804737,1410721758.04206,-20.32,1
320804738,1410721760.22694,-20.5,1
320804739,1410721792.99953,-20.42,1
320804740,1410721795.19528,-20.4,1
320804741,1410721797.3757,-20.53,1
320804742,1410721799.55844,-20.22,1
320804610,1410721801.77171,-20.42,1
320804611,1410721834.50429,-20.33,1
320804612,1410721836.68819,-20.38,1
