est_id,t,power,good
320801363,1410721227.6747,-16.68,1
320801364,1410721229.82595,-16.71,1
320801365,1410721231.95271,-16.59,1
320801366,1410721234.1229,-16.68,1
320801367,1410721236.27224,-16.75,1
320802121,1410721268.54553,-16.63,1
320802122,1410721270.71658,-16.71,1
320802123,1410721272.86534,-16.6,1
320802124,1410721275.00957,-16.58,1
320802125,1410721277.15468,-16.6,1
320802126,1410721309.52434,-16.64,1
320802127,1410721311.67981,-16.61,1
320802128,1410721313.85278,-16.62,1
320802129,1410721315.99691,-16.58,1
320802084,1410721348.45106,-16.65,1
320802085,1410721350.6229,-16.67,1
320802086,1410721352.76736,-16.52,1
320802087,1410721354.93892,-16.58,1
320802088,1410721357.11613,-16.65,1
320802741,1410721389.61542,-16.58,1
320802742,1410721391.80366,-16.62,1
320802743,1410721393.95949,-16.59,1
320802744,1410721396.11506,-16.67,1
320802745,1410721398.28684,-16.59,1
320802701,1410721470.00767,-16.63,1
320802702,1410721471.16001,-4.17,0
320802703,1410721474.36104,-16.68,1
320802704,1410721476.53121,-16.64,1
320802705,1410721478.73708,-16.63,1
320803406,1410721511.39641,-16.62,1
320803407,1410721513.55307,-16.65,1
320803408,1410721515.72496,-16.57,1
320803409,1410721517.90969,-16.59,1
320803410,1410721520.09048,-18.91,0
320803411,1410721550.617,-16.63,1
320803412,1410721552.77727,-16.58,1
320803413,1410721554.96253,-16.57,1
320803414,1410721557.16077,-16.61,1
320803415,1410721559.32573,-16.62,1
320803369,1410721592.06146,-16.53,1
320803370,1410721594.2452,-16.53,1
320803371,1410721596.41522,-16.55,1
320803372,1410721598.59644,-16.6,1
320803373,1410721600.79694,-16.56,1
320804201,1410721633.52531,-16.57,1
320804202,1410721635.7261,-16.65,1
320804203,1410721637.89317,-16.55,1
320804204,1410721640.07372,-16.57,1
320804205,1410721672.85471,-16.65,1
320804206,1410721675.0167,-16.62,1
320804207,1410721677.20113,-16.6,1
320804208,1410721679.40928,-16.63,1
320804161,1410721681.57841,-16.63,1
320804162,1410721714.35007,-16.55,1
320804163,1410721716.529,-16.55,1
320804164,1410721718.7125,-16.62,1
320804165,1410721720.89327,-16.62,1
320804951,1410721753.66969,-16.65,1
320804952,1410721755.89341,-16.75,1
320804953,1410721758.06063,-16.6,1
320804954,1410721760.23008,-16.6,1
320804955,1410721762.40953,-16.69,1
320804956,1410721795.20892,-16.64,1
320804957,1410721797.38172,-16.66,1
320804958,1410721799.58545,-16.6,1
320804890,1410721801.86814,-16.68,1
320804891,1410721834.52319,-16.67,1
320804892,1410721836.70392,-16.65,1
320804893,1410721838.8709,-16.7,1
320804894,1410721841.05411,-16.58,1
320804895,1410721843.23894,-16.61,1
320805716,1410721875.92753,-16.56,1
320805717,1410721878.12359,-16.69,1
320805718,1410721880.29616,-16.74,1
320805719,1410721882.4509,-16.61,1
320805720,1410721915.01773,-16.59,1
320805721,1410721917.16331,-16.77,1
320805722,1410721919.34376,-16.67,1
320805675,1410721921.51309,-16.77,1
320805676,1410721923.66363,-16.75,1
320805677,1410721956.04298,-16.74,1
320805678,1410721958.19768,-16.79,1
320805679,1410721960.34083,-16.86,1
320805680,1410721962.48766,-16.73,1
320805681,1410721964.65821,-16.85,1
320806415,1410721996.85955,-16.77,1
320806416,1410721999.01943,-16.73,1
320806417,1410722001.16312,-16.85,1
320806418,1410722003.2878,-16.64,1
320806419,1410722037.55263,-16.86,1
320806420,1410722039.68972,-16.77,1
320806374,1410722041.83311,-16.81,1
320806375,1410722043.96837,-16.71,1
320806376,1410722078.23998,-16.82,1
320806377,1410722080.37486,-16.82,1
320806378,1410722082.4888,-16.74,1
320806379,1410722084.64736,-16.81,1
320807031,1410722116.75617,-16.77,1
320807032,1410722118.8649,-16.71,1
320807033,1410722121.00829,-16.76,1
320807034,1410722123.14498,-16.71,1
320807035,1410722125.28868,-16.76,1
320807036,1410722157.42329,-16.74,1
320807037,1410722159.55758,-16.88,1
320806992,1410722161.68889,-16.75,1
320806993,1410722163.85366,-16.77,1
320806994,1410722165.99441,-16.86,1
320806995,1410722198.17419,-16.78,1
320806996,1410722200.35561,-16.69,1
320806997,1410722202.49122,-16.67,1
320806998,1410722204.62451,-16.73,1
320806999,1410722206.76821,-16.69,1
320807759,1410722239.03689,-16.65,1
320807760,1410722241.18543,-16.74,1
320807761,1410722243.35809,-16.75,1
320807762,1410722245.49156,-16.66,1
320807763,1410722247.65037,-16.67,1
320807764,1410722279.9881,-16.78,1
320807720,1410722282.11832,-16.7,1
320807721,1410722284.29729,-16.82,1
320807722,1410722286.46077,-16.7,1
320807723,1410722318.8482,-16.58,1
320807724,1410722321.01273,-16.59,1
320807725,1410722323.14953,-16.61,1
320807726,1410722325.32278,-16.66,1
320807727,1410722327.4963,-16.72,1
320808549,1410722359.94957,-16.66,1
320808550,1410722362.12814,-16.73,1
320808551,1410722364.30119,-16.69,1
320808552,1410722366.44917,-16.69,1
320808553,1410722368.6184,-16.67,1
320808454,1410722401.1372,-16.64,1
320808455,1410722402.99958,-32.8,0
320808456,1410722403.10212,-32.68,0
320808457,1410722403.15996,-30.8,0
320808458,1410722403.25416,-31.81,0
320808459,1410722403.34735,-16.68,1
320808460,1410722403.37307,-32.01,0
320808461,1410722403.43294,-32.53,0
320808462,1410722405.51843,-16.7,1
320808463,1410722407.09849,-31.67,0
320808464,1410722407.15746,-31.38,0
320808465,1410722407.23974,-32.64,0
320808466,1410722407.65134,-16.68,1
320808467,1410722440.26024,-16.63,1
320808468,1410722442.41372,-16.68,1
320808469,1410722444.58486,-16.63,1
320808470,1410722446.77225,-16.64,1
320808471,1410722448.93734,-16.66,1
320809297,1410722481.56486,-16.62,1
320809298,1410722483.76014,-16.62,1
320809299,1410722485.92919,-16.59,1
320809300,1410722488.10053,-16.62,1
320809301,1410722490.29988,-16.59,1
320809254,1410722522.94942,-16.64,1
320809255,1410722525.14937,-16.61,1
320809256,1410722527.32673,-16.69,1
320809257,1410722529.50261,-16.67,1
320809258,1410722562.18045,-16.63,1
320809259,1410722564.35187,-16.69,1
320809260,1410722566.54514,-16.67,1
320809261,1410722568.71759,-16.63,1
320809262,1410722570.88731,-16.6,1
320809991,1410722603.57333,-16.78,1
320809992,1410722605.73576,-16.7,1
320809993,1410722607.9204,-16.78,1
320809994,1410722610.10141,-16.58,1
320809947,1410722642.718,-16.72,1
320809948,1410722644.89782,-16.73,1
320809949,1410722647.04414,-16.69,1
320809950,1410722649.23177,-16.69,1
320809951,1410722651.42529,-16.7,1
320809952,1410722683.96248,-16.7,1
320809953,1410722686.13404,-16.73,1
320809954,1410722688.29035,-16.68,1
320809955,1410722690.46259,-16.62,1
320809956,1410722692.64617,-16.65,1
320810590,1410722725.12221,-16.59,1
320810591,1410722727.29388,-16.69,1
320810592,1410722729.46585,-16.62,1
320810593,1410722731.62148,-16.69,1
320810547,1410722764.0582,-16.69,1
320810548,1410722766.2028,-16.66,1
320810549,1410722768.36265,-16.76,1
320810550,1410722770.70145,-16.67,1
320810551,1410722772.70646,-16.82,1
320810552,1410722805.09011,-16.76,1
320810553,1410722807.24502,-16.71,1
320810554,1410722809.39197,-16.83,1
320810555,1410722811.56161,-16.79,1
320810556,1410722813.72981,-16.85,1
320811421,1410722846.14523,-16.74,1
320811422,1410722848.32149,-16.72,1
320811423,1410722850.47198,-16.74,1
320811424,1410722852.63164,-16.73,1
320811377,1410722885.08909,-16.76,1
320811378,1410722887.24891,-16.66,1
320811379,1410722889.56144,-16.72,1
320811380,1410722891.59747,-16.83,1
320811381,1410722893.74677,-16.7,1
320811382,1410722926.20671,-16.72,1
320811383,1410722928.36488,-16.81,1
320811384,1410722930.53656,-16.8,1
320811385,1410722932.71351,-16.76,1
320811386,1410722934.84945,-16.78,1
320812306,1410722967.32708,-16.83,1
320812307,1410722969.45745,-16.74,1
320812308,1410722971.62522,-16.8,1
320812309,1410722973.80523,-16.82,1
320812229,1410723008.3571,-16.82,1
320812230,1410723010.58502,-16.82,1
320812231,1410723012.65302,-16.84,1
320812232,1410723014.85854,-16.79,1
320812233,1410723047.13578,-16.87,1
320812234,1410723049.31147,-16.98,1
320812235,1410723051.46096,-16.85,1
320812236,1410723053.59957,-16.77,1
320812237,1410723055.74793,-16.75,1
320813162,1410723088.02075,-16.88,1
320813163,1410723090.14429,-16.76,1
320813164,1410723092.303,-16.87,1
320813165,1410723094.43609,-16.85,1
320813166,1410723096.58377,-16.83,1
320813121,1410723128.81321,-16.86,1
320813122,1410723130.9328,-16.83,1
320813123,1410723133.25099,-16.88,1
320813124,1410723137.37903,-16.85,1
320813125,1410723169.58239,-16.8,1
320813126,1410723171.71202,-16.84,1
320813127,1410723173.85741,-16.81,1
320813128,1410723174.71244,-29.76,0
320813129,1410723176.03246,-16.83,1
320814093,1410723210.35616,-16.78,1
320814094,1410723212.50673,-16.91,1
320814095,1410723214.63259,-16.84,1
320814096,1410723216.7898,-16.9,1
320814050,1410723248.9787,-16.75,1
320814051,1410723251.10392,-16.83,1
320814052,1410723253.3412,-16.94,1
320814053,1410723255.4191,-16.87,1
320814054,1410723257.54468,-16.93,1
320814055,1410723289.71358,-16.9,1
320814056,1410723291.84401,-16.94,1
320814057,1410723294.00415,-16.89,1
320814058,1410723296.15596,-16.97,1
320814059,1410723298.28362,-16.92,1
320815076,1410723330.41628,-16.85,1
320815077,1410723332.53293,-16.9,1
320815078,1410723334.68258,-16.93,1
320815079,1410723336.8305,-16.88,1
320815080,1410723338.95079,-16.86,1
320815038,1410723371.00507,-17,1
320815039,1410723373.16033,-17.01,1
320815040,1410723375.28451,-17.01,1
320815041,1410723377.38987,-16.95,1
320815042,1410723379.53711,-17.09,1
320815043,1410723411.48545,-17.06,1
320815044,1410723413.61709,-17.02,1
320815045,1410723415.75605,-17.08,1
320815046,1410723417.87435,-17,1
320815853,1410723420.01054,-17.05,1
320815854,1410723451.97035,-16.99,1
320815855,1410723454.08251,-17.02,1
320815856,1410723456.23244,-17.02,1
320815857,1410723458.36465,-17.03,1
320815858,1410723460.48632,-16.9,1
320815812,1410723492.62735,-16.99,1
320815813,1410723494.67751,-17,1
320815814,1410723496.78773,-16.93,1
320815815,1410723498.93821,-17.06,1
320815816,1410723501.07649,-16.99,1
320815817,1410723533.15983,-17.04,1
320815818,1410723535.31161,-17.07,1
320815819,1410723537.44282,-17.09,1
320815820,1410723539.58005,-17,1
320816418,1410723541.73647,-17.05,1
320816419,1410723573.89179,-17.01,1
320816420,1410723576.04862,-17.09,1
320816421,1410723578.20195,-17.03,1
320816422,1410723580.33072,-17.11,1
320816369,1410723614.76091,-17,1
320816370,1410723616.87512,-16.94,1
320816371,1410723618.99955,-17.09,1
320816372,1410723621.15923,-17.04,1
320816373,1410723653.36741,-17.06,1
320816374,1410723655.52857,-17.18,1
320816375,1410723657.67201,-17.1,1
320816376,1410723659.81547,-17.11,1
320816992,1410723661.98758,-17.13,1
320816993,1410723662.13257,-29.25,0
320816994,1410723694.1435,-17.11,1
320816995,1410723696.30502,-17.18,1
320816996,1410723698.44763,-17.06,1
320816997,1410723700.57988,-17.07,1
320816998,1410723702.71619,-17.09,1
320816955,1410723734.95821,-17.14,1
320816956,1410723736.9439,-17.07,1
320816957,1410723739.07231,-17.11,1
320816958,1410723741.2124,-17.18,1
320816959,1410723743.31912,-17.06,1
320816960,1410723775.30798,-17.08,1
320816961,1410723777.41218,-17.04,1
320816962,1410723779.54673,-17.12,1
320817835,1410723781.69149,-17.11,1
320817836,1410723783.81739,-17.09,1
320817837,1410723815.71583,-17.2,1
320817838,1410723817.86301,-17.2,1
320817839,1410723819.97244,-17.27,1
320817840,1410723822.09538,-17.21,1
320817841,1410723824.23885,-17.18,1
320817790,1410723856.13453,-17.25,1
320817791,1410723858.25143,-17.21,1
320817792,1410723860.36376,-17.29,1
320817793,1410723862.4787,-17.3,1
320817794,1410723864.60409,-17.22,1
320817795,1410723896.46015,-17.25,1
320817796,1410723898.563,-17.26,1
320818807,1410723900.69898,-17.18,1
320818808,1410723903.14109,-17.29,1
320818809,1410723904.92222,-17.25,1
320818810,1410723936.73214,-17.33,1
320818811,1410723938.85794,-17.28,1
320818812,1410723940.96213,-17.25,1
320818813,1410723943.10267,-17.34,1
320818814,1410723945.21546,-17.26,1
320818764,1410723976.97901,-17.32,1
320818765,1410723979.10035,-17.25,1
320818766,1410723981.2397,-17.22,1
320818767,1410723983.33471,-17.18,1
320818768,1410723985.46557,-17.3,1
320818769,1410724017.23946,-17.22,1
320818770,1410724019.372,-17.37,1
320819545,1410724021.49553,-17.29,1
320819546,1410724023.60387,-17.21,1
320819547,1410724025.72884,-17.15,1
320819548,1410724057.59411,-17.18,1
320819549,1410724059.69858,-17.29,1
320819550,1410724061.83734,-17.22,1
320819551,1410724063.96921,-17.28,1
320819552,1410724066.07962,-17.15,1
320819503,1410724098.00933,-17.21,1
320819504,1410724100.10188,-17.29,1
320819505,1410724102.23764,-17.29,1
320819506,1410724104.38126,-17.24,1
320819507,1410724106.4952,-17.16,1
320819508,1410724138.46674,-17.07,1
320820357,1410724140.59509,-17.13,1
320820358,1410724142.70939,-17.19,1
320820359,1410724144.84636,-17.17,1
320820360,1410724146.97855,-17.13,1
320820361,1410724179.00468,-17.2,1
320820362,1410724181.10928,-17.29,1
320820363,1410724183.27584,-17.2,1
320820364,1410724185.40504,-17.2,1
320820365,1410724187.52615,-17.12,1
320820283,1410724219.60379,-17.12,1
320820284,1410724221.75461,-17.23,1
320820285,1410724223.86223,-17.23,1
320820286,1410724226.00845,-17.19,1
320820287,1410724228.15127,-17.23,1
320821176,1410724260.25797,-17.13,1
320821177,1410724262.40311,-17.06,1
320821178,1410724264.52703,-17.16,1
320821179,1410724266.6743,-17.19,1
320821180,1410724268.83645,-17.22,1
320821181,1410724300.98653,-17.22,1
320821182,1410724303.15124,-17.15,1
320821183,1410724305.29697,-17.14,1
320821184,1410724307.41338,-17.15,1
320821185,1410724309.58225,-17.12,1
320821145,1410724341.76613,-17.16,1
320821146,1410724343.92383,-17.22,1
320821147,1410724346.08018,-17.17,1
320821148,1410724348.20706,-17.16,1
320821149,1410724350.36252,-17.09,1
320821824,1410724382.55475,-17.22,1
320821825,1410724384.69063,-17.15,1
320821826,1410724386.85273,-17.22,1
320821827,1410724388.98764,-17.23,1
320821828,1410724423.2993,-17.22,1
320821829,1410724425.42955,-17.11,1
320821830,1410724427.58699,-17.19,1
320821831,1410724429.73775,-17.18,1
320821790,1410724461.85713,-17.14,1
320821791,1410724464.0161,-17.14,1
320821792,1410724466.15869,-17.2,1
320821793,1410724468.28456,-17.13,1
320821794,1410724470.44369,-17.17,1
320822731,1410724502.60305,-17.11,1
320822732,1410724504.72614,-17.02,1
320822733,1410724506.88444,-17.08,1
320822734,1410724509.03118,-17.14,1
320822735,1410724511.1617,-17.09,1
320822736,1410724543.40134,-17.03,1
320822737,1410724545.55636,-17.14,1
320822738,1410724547.69803,-17.12,1
320822739,1410724549.84129,-17.04,1
320822740,1410724552.00321,-17.12,1
320822666,1410724584.28414,-17.03,1
320822667,1410724586.42707,-17.06,1
320822668,1410724587.09487,-30.78,0
320822669,1410724587.41381,-32.84,0
320822670,1410724588.61855,-17.12,1
320822671,1410724589.41908,-30.91,0
320822672,1410724590.9437,-18.05,0
320822673,1410724592.89546,-17.03,1
320823548,1410724624.01649,-32.83,0
320823549,1410724624.07523,-33.39,0
320823550,1410724625.2549,-16.96,1
320823551,1410724627.39561,-16.97,1
320823552,1410724629.53468,-16.93,1
320823553,1410724631.60823,-30.79,0
320823554,1410724631.71394,-17,1
320823555,1410724664.07849,-16.93,1
320823556,1410724666.22727,-17,1
320823557,1410724668.41128,-16.99,1
320823558,1410724670.57823,-16.96,1
320823559,1410724671.96564,-30.63,0
320823560,1410724672.04681,-35.17,0
320823561,1410724672.71499,-16.85,1
320823473,1410724705.14268,-17.04,1
320823474,1410724707.31156,-16.96,1
320823475,1410724709.45783,-17,1
320823476,1410724711.61716,-16.88,1
320823477,1410724713.79148,-16.85,1
320824026,1410724787.35619,-17.1,1
320824027,1410724789.52707,-17.03,1
320824028,1410724791.69542,-16.95,1
320824029,1410724792.2157,-32.52,0
320824030,1410724792.35944,-34.19,0
320824031,1410724793.83968,-17.05,1
320824032,1410724796.02297,-17.01,1
320823898,1410724828.52277,-17.03,1
320823899,1410724830.67111,-16.92,1
320823900,1410724832.85216,-17,1
320823901,1410724835.01846,-16.94,1
320824689,1410724867.50657,-16.87,1
320824690,1410724869.69644,-17.03,1
320824691,1410724871.86459,-17.06,1
320824692,1410724874.01909,-16.97,1
320824693,1410724876.20196,-16.93,1
320824694,1410724908.7209,-16.97,1
320824695,1410724910.86638,-16.9,1
320824696,1410724913.05097,-16.89,1
320824697,1410724915.22422,-16.97,1
320824698,1410724917.37898,-16.89,1
320824621,1410724949.90047,-17.01,1
320824622,1410724952.0813,-17.15,1
320824623,1410724954.24786,-16.97,1
320824624,1410724956.40159,-16.96,1
320825813,1410724988.92152,-17.03,1
320825814,1410724991.09079,-17.06,1
320825815,1410724993.23781,-16.97,1
320825816,1410724995.40521,-17.05,1
320825817,1410724997.5946,-17.09,1
320825818,1410725030.08811,-17.05,1
320825819,1410725032.25289,-16.93,1
320825820,1410725034.40221,-17.07,1
320825821,1410725036.59376,-17.1,1
320825822,1410725038.75779,-17.01,1
320825781,1410725071.24617,-17.05,1
320825782,1410725073.40523,-17.02,1
320825783,1410725075.539,-16.9,1
320825784,1410725077.72645,-16.96,1
320826417,1410725110.11566,-16.96,1
320826418,1410725112.46706,-17.01,1
320826419,1410725114.46078,-17.06,1
320826420,1410725116.58447,-17.01,1
320826421,1410725118.74536,-17.12,1
320826422,1410725151.06584,-17,1
320826423,1410725153.19967,-17.05,1
320826424,1410725155.34313,-16.96,1
320826425,1410725157.50482,-16.95,1
320826426,1410725159.65398,-16.98,1
320826373,1410725191.88909,-17.05,1
320826374,1410725194.01348,-17.08,1
320826375,1410725196.15278,-17.03,1
320826376,1410725198.30788,-17.11,1
320826377,1410725200.43105,-17.03,1
320826926,1410725232.61523,-17.05,1
320826927,1410725234.75072,-17.12,1
320826928,1410725236.89854,-17.15,1
320826929,1410725239.04313,-17.06,1
320826930,1410725241.20278,-17.06,1
320826931,1410725273.35837,-17.13,1
320826932,1410725275.50006,-16.99,1
320826933,1410725277.64626,-17.12,1
320826934,1410725279.76818,-16.98,1
320826881,1410725314.0348,-17.07,1
320826882,1410725316.14293,-17.06,1
320826883,1410725318.29035,-16.99,1
320826884,1410725320.4249,-17.16,1
320827187,1410725354.53093,-17.04,1
320827188,1410725356.67052,-17.08,1
320827189,1410725358.80194,-17.08,1
320827190,1410725360.92357,-17.12,1
320827191,1410725394.93339,-17.1,1
320827192,1410725397.05449,-17.12,1
320827193,1410725399.16269,-17.03,1
320827108,1410725401.37664,-17.09,1
320827109,1410725435.27138,-17.06,1
320827110,1410725436.91038,-32.02,0
320827111,1410725439.04617,-29.9,0
320827112,1410725439.20223,-31.18,0
320827113,1410725439.74753,-30.74,0
320827114,1410725439.77561,-30.64,0
320827115,1410725439.84652,-30.58,0
320827116,1410725439.91823,-31.15,0
320827117,1410725440.17501,-31.32,0
320827118,1410725440.23466,-31.16,0
320827119,1410725440.30762,-31.26,0
320827120,1410725440.35543,-31.01,0
320827121,1410725441.64818,-17.07,1
320828823,1410725475.62688,-17.14,1
320828824,1410725477.73484,-17.09,1
320828825,1410725479.86917,-17.04,1
320828826,1410725482.00407,-17.04,1
320828827,1410725516.05821,-17.05,1
320828828,1410725518.17355,-17.07,1
320828787,1410725520.30558,-17.15,1
320828788,1410725522.44346,-17.04,1
320828789,1410725556.56133,-17.01,1
320828790,1410725558.69352,-17.06,1
320828791,1410725560.79333,-17.1,1
320828792,1410725562.94425,-17.09,1
320828752,1410725597.07131,-17.14,1
320828753,1410725599.19327,-17.11,1
320828754,1410725601.3176,-17.03,1
320828755,1410725603.44855,-17.06,1
320828756,1410725637.57009,-17.13,1
320828757,1410725639.70971,-17.11,1
320828700,1410725641.83747,-17.1,1
320828701,1410725643.94883,-17.05,1
320828702,1410725678.05535,-17.09,1
320828703,1410725680.20051,-17.09,1
320828704,1410725682.33774,-17.04,1
320828705,1410725684.46849,-17.16,1
320829678,1410725717.94636,-34.16,0
320829679,1410725718.0004,-34.78,0
320829680,1410725718.09968,-34.42,0
320829681,1410725718.22527,-33.51,0
320829682,1410725718.57242,-17.08,1
320829683,1410725720.73498,-17.1,1
320829684,1410725722.85139,-16.97,1
320829685,1410725725.05205,-17.1,1
320829686,1410725757.00377,-16.99,1
320829687,1410725759.12035,-16.93,1
320829606,1410725761.2556,-17,1
320829607,1410725763.40289,-16.97,1
320829608,1410725765.53466,-17.04,1
320829609,1410725797.60057,-16.98,1
320829610,1410725799.73087,-17,1
320829611,1410725801.86291,-17.06,1
320829612,1410725804.00587,-17.01,1
320829613,1410725806.12983,-17.05,1
320830402,1410725838.21921,-17.12,1
320830403,1410725840.3514,-17.03,1
320830404,1410725842.50084,-17,1
320830405,1410725844.64174,-17.04,1
320830406,1410725846.77727,-16.94,1
320830407,1410725878.89834,-17.07,1
320830332,1410725881.04172,-16.94,1
320830333,1410725883.18085,-16.98,1
320830334,1410725885.30667,-16.93,1
320830335,1410725887.4439,-16.93,1
320830336,1410725919.58925,-16.91,1
320830337,1410725921.73377,-16.89,1
320830338,1410725923.89719,-16.92,1
320830339,1410725926.04113,-17.01,1
320830340,1410725928.18195,-17.03,1
320831183,1410725960.35494,-16.93,1
320831184,1410725962.49722,-17.03,1
320831185,1410725964.63228,-17.05,1
320831186,1410725966.77714,-17.06,1
320831187,1410725968.93725,-17.05,1
320831135,1410726001.1551,-16.9,1
320831136,1410726003.66829,-17,1
320831137,1410726005.46234,-17,1
320831138,1410726007.61187,-17.01,1
320831139,1410726042.01113,-16.93,1
320831140,1410726044.13507,-16.94,1
320831141,1410726046.30296,-17.01,1
320831142,1410726048.45084,-16.98,1
320831868,1410726080.73287,-16.91,1
320831869,1410726082.89156,-16.94,1
320831870,1410726085.02339,-16.96,1
320831871,1410726087.17927,-17.02,1
320831872,1410726089.35122,-16.98,1
320831830,1410726121.63415,-17.01,1
320831831,1410726123.79696,-16.96,1
320831832,1410726125.95679,-16.93,1
320831833,1410726128.21239,-16.93,1
320831834,1410726130.26599,-17.02,1
320831835,1410726162.58469,-16.99,1
320831836,1410726164.74089,-17.01,1
320831837,1410726166.89969,-17,1
320831838,1410726169.04926,-16.97,1
320831839,1410726171.20488,-16.93,1
320832769,1410726203.5366,-16.98,1
320832770,1410726205.67032,-17.05,1
320832771,1410726207.82984,-17,1
320832772,1410726209.9855,-16.91,1
320832714,1410726242.31356,-16.96,1
320832715,1410726244.45712,-16.95,1
320832716,1410726245.28021,-34,0
320832717,1410726246.61754,-17,1
320832718,1410726248.78864,-17.08,1
320832719,1410726250.9476,-16.95,1
320832720,1410726251.01751,-34.31,0
320832721,1410726251.07169,-34.64,0
320832722,1410726251.1385,-34.26,0
320832723,1410726251.18846,-34.65,0
320832724,1410726251.26409,-34.18,0
320832725,1410726251.3407,-34.16,0
320832726,1410726251.37948,-34.85,0
320832727,1410726251.44338,-34.42,0
320832728,1410726251.51259,-34.36,0
320832729,1410726251.54242,-33.75,0
320832730,1410726252.05892,-34,0
320832731,1410726283.26918,-17.02,1
320832732,1410726285.42722,-17.04,1
320832733,1410726287.57069,-16.95,1
320832734,1410726289.73831,-16.98,1
320832735,1410726291.85626,-16.95,1
320833624,1410726324.17349,-17.01,1
320833625,1410726326.33908,-17.03,1
320833626,1410726328.4804,-16.97,1
320833627,1410726330.61077,-16.92,1
320833628,1410726332.76821,-17.01,1
320833586,1410726365.03455,-17.08,1
320833587,1410726367.17316,-16.92,1
320833588,1410726369.38349,-16.92,1
320833589,1410726371.4583,-16.92,1
320833590,1410726405.76479,-34.66,0
320833591,1410726405.99897,-34.59,0
320833592,1410726406.15282,-34.2,0
320833593,1410726406.2009,-34.37,0
320833594,1410726406.26752,-34.62,0
320833595,1410726407.98949,-16.99,1
320833596,1410726410.13465,-17.17,1
320833597,1410726412.28414,-17,1
320834518,1410726444.47542,-16.98,1
320834519,1410726446.6126,-16.96,1
320834520,1410726448.75645,-16.93,1
320834521,1410726450.92708,-17.09,1
320834522,1410726453.07408,-17.05,1
320834466,1410726485.24097,-17.02,1
320834467,1410726487.3873,-16.98,1
320834468,1410726489.6657,-16.95,1
320834469,1410726491.67859,-16.9,1
320834470,1410726493.79526,-17.09,1
320834471,1410726525.96131,-17.02,1
320834472,1410726527.76635,-34.62,0
320834473,1410726528.11062,-17.06,1
320834474,1410726528.44264,-34.42,0
320834475,1410726528.5682,-34.59,0
320834476,1410726528.62864,-34.62,0
320834477,1410726528.70624,-34.35,0
320834478,1410726528.7297,-34.31,0
320834479,1410726528.79857,-34.91,0
320834480,1410726528.91233,-34.35,0
320834481,1410726529.1173,-34.49,0
320834482,1410726529.15061,-34.39,0
320834483,1410726529.20315,-34.54,0
320834484,1410726529.34784,-34.27,0
320834485,1410726529.40848,-34.12,0
320834486,1410726529.49081,-34.77,0
320834487,1410726529.55912,-34.74,0
320834488,1410726529.82404,-34.2,0
320834489,1410726529.8628,-34.33,0
320834490,1410726530.26504,-17.06,1
320834491,1410726532.40597,-17.03,1
320834492,1410726534.54826,-17.07,1
320835695,1410726566.71986,-17.06,1
320835696,1410726568.85829,-17.01,1
320835697,1410726570.9944,-17.14,1
320835698,1410726573.14126,-17.13,1
320835699,1410726575.3043,-17.05,1
320835659,1410726607.48566,-16.97,1
320835660,1410726609.19548,-34.18,0
320835661,1410726609.63419,-17.06,1
320835662,1410726610.53572,-34.39,0
320835663,1410726612.00565,-17.01,1
320835664,1410726613.95036,-17.02,1
320835665,1410726648.2908,-17.08,1
320835666,1410726650.43572,-17.07,1
320835667,1410726652.56779,-17.11,1
320835668,1410726654.71247,-17.01,1
