est_id,t,power,good
320801514,1410721227.65985,-17.89,1
320801515,1410721229.80643,-17.81,1
320801516,1410721231.95054,-17.88,1
320801517,1410721234.10773,-17.94,1
320801518,1410721236.25976,-17.97,1
320801481,1410721268.54662,-17.88,1
320801482,1410721270.72595,-17.92,1
320801483,1410721272.85955,-17.97,1
320801484,1410721275.00428,-17.85,1
320801485,1410721309.52996,-17.98,1
320801486,1410721311.68945,-17.89,1
320801487,1410721313.82967,-17.94,1
320801488,1410721316.01111,-17.95,1
320802267,1410721348.44645,-17.79,1
320802268,1410721350.606,-17.89,1
320802269,1410721352.77371,-17.84,1
320802270,1410721354.94838,-17.94,1
320802271,1410721357.09492,-17.89,1
320802232,1410721389.61635,-17.85,1
320802233,1410721391.79524,-17.9,1
320802234,1410721393.94809,-17.87,1
320802235,1410721396.1172,-17.89,1
320802236,1410721398.30154,-17.79,1
320802237,1410721429.04589,-33.67,0
320802238,1410721430.87168,-17.91,1
320802239,1410721433.04391,-17.82,1
320802240,1410721435.20311,-17.92,1
320802241,1410721437.38067,-17.94,1
320802873,1410721470.00424,-17.98,1
320802874,1410721471.19609,-32.52,0
320802875,1410721471.26601,-33.26,0
320802876,1410721472.19603,-17.96,1
320802877,1410721474.36951,-17.88,1
320802878,1410721476.52986,-17.88,1
320802879,1410721478.71763,-17.94,1
320802842,1410721511.3666,-17.82,1
320802843,1410721513.5598,-17.82,1
320802844,1410721515.71691,-17.81,1
320802845,1410721517.901,-17.88,1
320802846,1410721550.61615,-17.83,1
320802847,1410721552.79117,-17.67,1
320802848,1410721554.96847,-17.93,1
320802849,1410721557.13738,-17.79,1
320802850,1410721559.32222,-17.88,1
320803553,1410721592.05606,-17.91,1
320803554,1410721594.24366,-17.84,1
320803555,1410721596.42097,-17.89,1
320803556,1410721598.60806,-17.93,1
320803522,1410721631.50459,-18.05,1
320803523,1410721633.54934,-17.91,1
320803524,1410721635.73873,-17.88,1
320803525,1410721637.91678,-17.86,1
320803526,1410721640.09441,-17.91,1
320803527,1410721672.85991,-17.81,1
320803528,1410721675.0141,-17.91,1
320803529,1410721677.20534,-17.88,1
320803530,1410721679.4073,-17.84,1
320804350,1410721712.16146,-17.98,1
320804351,1410721714.36393,-17.86,1
320804352,1410721716.53078,-18.02,1
320804353,1410721718.72447,-18.01,1
320804354,1410721720.90718,-18.05,1
320804320,1410721753.78277,-17.91,1
320804321,1410721755.85552,-18.02,1
320804322,1410721758.06973,-17.98,1
320804323,1410721760.24815,-17.93,1
320804324,1410721793.00626,-18,1
320804325,1410721795.19232,-17.94,1
320804326,1410721797.38308,-17.81,1
320804327,1410721799.57566,-17.94,1
320805111,1410721801.8363,-18.13,1
320805112,1410721834.51982,-17.95,1
320805113,1410721836.69014,-17.87,1
320805114,1410721838.88625,-18.04,1
320805115,1410721841.06842,-17.94,1
320805079,1410721873.77457,-17.84,1
320805080,1410721876.44478,-19.98,0
320805081,1410721878.24373,-17.87,1
320805082,1410721880.42282,-19.75,0
320805083,1410721882.50527,-17.98,1
320805084,1410721915.0107,-17.95,1
320805085,1410721917.18175,-18,1
320805086,1410721919.34077,-17.8,1
320805864,1410721921.49162,-17.97,1
320805865,1410721923.67654,-17.91,1
320805866,1410721956.03999,-18.07,1
320805867,1410721958.18715,-17.98,1
320805868,1410721960.33626,-18.15,1
320805869,1410721962.49307,-18.12,1
320805833,1410721996.87643,-17.94,1
320805834,1410721999.00313,-18.03,1
320805835,1410722001.14628,-18.05,1
320805836,1410722003.30028,-18.17,1
320805837,1410722035.4121,-18.05,1
320805838,1410722037.55867,-18.17,1
320805839,1410722039.69113,-18.16,1
320806614,1410722041.82734,-18.12,1
320806615,1410722043.98482,-18.12,1
320806616,1410722076.08569,-18.14,1
320806617,1410722078.22789,-18.09,1
320806618,1410722080.36639,-18.05,1
320806619,1410722082.50511,-18.05,1
320806620,1410722084.6389,-18.13,1
320806527,1410722116.72047,-18.08,1
320806528,1410722118.86316,-18.27,1
320806529,1410722121.00657,-18.09,1
320806530,1410722123.13834,-18.18,1
320806531,1410722125.2968,-18.18,1
320806532,1410722157.40235,-18.01,1
320806533,1410722159.55896,-18.24,1
320807178,1410722161.69892,-18,1
320807179,1410722163.84832,-18.11,1
320807180,1410722165.99006,-18.17,1
320807181,1410722198.1926,-18.13,1
320807182,1410722200.32661,-18.08,1
320807183,1410722202.47089,-18.11,1
320807184,1410722204.64309,-18.17,1
320807185,1410722206.77944,-18.09,1
320807147,1410722239.0294,-17.96,1
320807148,1410722241.19953,-18.06,1
320807149,1410722243.33776,-18.1,1
320807150,1410722245.50513,-18.06,1
320807151,1410722279.97958,-18.06,1
320807928,1410722282.12639,-18.11,1
320807929,1410722284.28217,-18.11,1
320807930,1410722286.45515,-18,1
320807931,1410722318.82616,-17.85,1
320807932,1410722320.9957,-17.98,1
320807933,1410722323.15463,-18.01,1
320807934,1410722325.33034,-17.97,1
320807935,1410722327.4699,-17.84,1
320807869,1410722359.94017,-17.99,1
320807870,1410722362.1167,-18.07,1
320807871,1410722364.27867,-18.02,1
320807872,1410722366.46684,-18.08,1
320807873,1410722368.61896,-18.04,1
320808705,1410722401.16042,-17.96,1
320808706,1410722403.68252,-17.89,1
320808707,1410722405.50306,-18,1
320808708,1410722407.68012,-18.02,1
320808709,1410722440.24996,-17.96,1
320808710,1410722442.39885,-17.98,1
320808711,1410722444.59016,-17.87,1
320808712,1410722446.76062,-17.9,1
320808713,1410722448.9226,-17.95,1
320808664,1410722481.56265,-17.93,1
320808665,1410722483.83011,-18.04,1
320808666,1410722485.93451,-17.87,1
320808667,1410722488.12265,-17.86,1
320809447,1410722520.78179,-17.95,1
320809448,1410722522.96582,-17.89,1
320809449,1410722525.13893,-18.01,1
320809450,1410722527.32879,-17.97,1
320809451,1410722529.50498,-17.92,1
320809452,1410722562.15977,-18.02,1
320809453,1410722564.34055,-17.98,1
320809454,1410722566.52762,-18.09,1
320809455,1410722568.70475,-18,1
320809456,1410722570.88445,-18.1,1
320809412,1410722603.54405,-18.06,1
320809413,1410722605.72685,-18.09,1
320809414,1410722607.9197,-18.2,1
320809415,1410722610.09599,-18.08,1
320810140,1410722642.71852,-17.88,1
320810141,1410722644.89089,-17.86,1
320810142,1410722647.06326,-17.9,1
320810143,1410722649.23241,-17.81,1
320810144,1410722651.40726,-17.83,1
320810145,1410722683.95471,-18.11,1
320810146,1410722686.13327,-18.04,1
320810147,1410722688.29906,-17.93,1
320810148,1410722690.46835,-17.98,1
320810094,1410722722.97429,-18.05,1
320810095,1410722725.12823,-18.18,1
320810096,1410722727.31008,-18,1
320810097,1410722729.46476,-18.02,1
320810098,1410722731.63596,-17.94,1
320810716,1410722764.06533,-18.07,1
320810717,1410722766.22147,-18.06,1
320810718,1410722768.39099,-17.95,1
320810719,1410722770.80941,-19.18,0
320810720,1410722772.67853,-17.99,1
320810721,1410722805.07417,-18.04,1
320810722,1410722807.24017,-18.2,1
320810723,1410722809.38971,-18.13,1
320810724,1410722811.55209,-18.06,1
320810684,1410722846.15043,-17.98,1
320810685,1410722848.32688,-17.98,1
320810686,1410722850.47907,-17.97,1
320810687,1410722852.64877,-17.93,1
320811561,1410722885.10486,-18.05,1
320811562,1410722887.26558,-18.01,1
320811563,1410722889.42951,-17.95,1
320811564,1410722891.596,-17.95,1
320811565,1410722893.73846,-18.06,1
320811566,1410722926.20545,-18.09,1
320811567,1410722928.35834,-18.01,1
320811568,1410722930.52799,-18.08,1
320811569,1410722932.68824,-17.97,1
320811525,1410722967.30385,-18.12,1
320811526,1410722969.47643,-18.1,1
320811527,1410722971.63187,-17.9,1
320811528,1410722973.8022,-18.03,1
320812484,1410723006.2076,-18.03,1
320812485,1410723008.35457,-18.1,1
320812486,1410723010.52024,-18.03,1
320812487,1410723012.67582,-18.08,1
320812488,1410723014.82289,-18.09,1
320812489,1410723047.15237,-18.06,1
320812490,1410723049.30449,-18.18,1
320812491,1410723051.43879,-18.13,1
320812492,1410723053.59873,-18.01,1
320812493,1410723055.75782,-18.02,1
320812435,1410723088.00609,-18.02,1
320812436,1410723090.15423,-18.03,1
320812437,1410723092.30102,-18.18,1
320812438,1410723094.4479,-18.16,1
320813303,1410723128.81665,-18.03,1
320813304,1410723130.96437,-18.15,1
320813305,1410723133.16997,-18.15,1
320813306,1410723135.22444,-18.17,1
320813307,1410723169.56877,-18.15,1
320813308,1410723171.7101,-18.15,1
320813309,1410723173.85394,-18.17,1
320813310,1410723174.75269,-32.42,0
320813311,1410723174.88579,-33.46,0
320813312,1410723176.00167,-18.14,1
320813270,1410723208.19,-18.23,1
320813271,1410723210.34647,-18.17,1
320813272,1410723212.49887,-18.08,1
320813273,1410723214.64292,-18.04,1
320813274,1410723216.78394,-17.96,1
320814229,1410723248.98815,-18.03,1
320814230,1410723251.13575,-18.11,1
320814231,1410723253.27649,-18.07,1
320814232,1410723255.38964,-18.06,1
320814233,1410723257.54382,-18.05,1
320814234,1410723289.70649,-18.17,1
320814235,1410723291.85103,-18.08,1
320814236,1410723293.9988,-18.17,1
320814237,1410723296.13244,-17.97,1
320814238,1410723298.28127,-18.04,1
320814187,1410723330.41521,-18.26,1
320814188,1410723332.54978,-18.24,1
320814189,1410723334.68065,-18.23,1
320814190,1410723336.83567,-18.26,1
320814191,1410723338.96295,-18.14,1
320815205,1410723371.01722,-18.17,1
320815206,1410723373.13732,-18.36,1
320815207,1410723375.30675,-18.4,1
320815208,1410723377.39275,-18.15,1
320815209,1410723379.54053,-18.04,1
320815210,1410723411.50735,-18.14,1
320815211,1410723413.62821,-18.18,1
320815212,1410723415.7559,-18.36,1
320815213,1410723417.87878,-18.24,1
320815166,1410723420.01717,-18.28,1
320815167,1410723451.96896,-18.35,1
320815168,1410723454.09665,-18.36,1
320815169,1410723456.22413,-18.4,1
320815170,1410723458.35572,-18.24,1
320815978,1410723492.52929,-18.1,1
320815979,1410723494.644,-18.04,1
320815980,1410723496.78063,-18,1
320815981,1410723498.93579,-18,1
320815982,1410723533.15616,-18.01,1
320815983,1410723535.3007,-18.1,1
320815984,1410723537.43643,-18.03,1
320815985,1410723539.59489,-18.09,1
320815944,1410723573.89244,-18.05,1
320815945,1410723576.05106,-18.03,1
320815946,1410723578.18912,-18.15,1
320815947,1410723580.33642,-18.07,1
320816551,1410723612.55181,-18.18,1
320816552,1410723614.69108,-18.19,1
320816553,1410723616.84833,-18.12,1
320816554,1410723618.98628,-18,1
320816555,1410723621.13069,-18.04,1
320816556,1410723653.37359,-18.1,1
320816557,1410723655.53498,-18.1,1
320816558,1410723657.67205,-18.07,1
320816559,1410723659.82931,-18.04,1
320816512,1410723661.98074,-18.12,1
320816513,1410723662.19741,-32.57,0
320816514,1410723662.35202,-33.92,0
320816515,1410723662.37606,-33.58,0
320816516,1410723694.16382,-17.98,1
320816517,1410723696.30322,-18.08,1
320816518,1410723698.44768,-18.06,1
320816519,1410723700.58932,-18.11,1
320816520,1410723702.72879,-18.02,1
320817130,1410723734.80692,-18.03,1
320817131,1410723736.92333,-18.09,1
320817132,1410723739.05508,-18.05,1
320817133,1410723741.1915,-18.18,1
320817134,1410723743.32336,-18.04,1
320817135,1410723775.2859,-18.2,1
320817136,1410723777.41749,-18.12,1
320817137,1410723779.54254,-18.13,1
320817093,1410723781.68645,-18.21,1
320817094,1410723783.82492,-18.18,1
320817095,1410723815.73833,-18.05,1
320817096,1410723817.86343,-18.11,1
320817097,1410723819.98799,-18.15,1
320817098,1410723822.11776,-18.14,1
320817099,1410723824.24685,-18.14,1
320817972,1410723856.1156,-18.11,1
320817973,1410723858.22711,-18.11,1
320817974,1410723860.34886,-18.03,1
320817975,1410723862.47484,-18.07,1
320817976,1410723864.61542,-18.08,1
320817977,1410723896.45612,-18.15,1
320817978,1410723898.57523,-18.09,1
320817936,1410723900.69992,-18.13,1
320817937,1410723903.11437,-18.12,1
320817938,1410723904.97164,-18.14,1
320817939,1410723936.74262,-18.08,1
320817940,1410723938.85742,-18.09,1
320817941,1410723940.97943,-18.12,1
320817942,1410723943.09892,-18.12,1
320817943,1410723945.21923,-18.17,1
320818924,1410723977.029,-18.24,1
320818925,1410723979.10422,-18.14,1
320818926,1410723981.23342,-18.2,1
320818927,1410723983.33484,-18.2,1
320818928,1410723985.44885,-18.21,1
320818929,1410724017.24079,-18.21,1
320818930,1410724019.36148,-18.14,1
320818887,1410724021.49598,-18.03,1
320818888,1410724023.61829,-18.19,1
320818889,1410724025.98,-18.1,1
320818890,1410724057.59715,-18.12,1
320818891,1410724059.71384,-18.1,1
320818892,1410724061.83646,-18.19,1
320818893,1410724063.97047,-18.09,1
320818894,1410724066.08293,-17.97,1
320819673,1410724097.99318,-17.99,1
320819674,1410724100.11128,-18.07,1
320819675,1410724102.24864,-18.1,1
320819676,1410724104.35972,-18.02,1
320819677,1410724106.49466,-18.02,1
320819678,1410724138.45429,-18.05,1
320819637,1410724140.57853,-18,1
320819638,1410724142.72994,-18.12,1
320819639,1410724144.85898,-18.06,1
320819640,1410724146.99787,-17.97,1
320819641,1410724179.01414,-18.06,1
320819642,1410724181.13869,-18.13,1
320819643,1410724183.33071,-18,1
320819644,1410724185.40886,-18.02,1
320819645,1410724187.52505,-18.03,1
320820509,1410724219.58794,-18.07,1
320820510,1410724221.73642,-17.99,1
320820511,1410724223.86839,-18.01,1
320820512,1410724226.00355,-18.01,1
320820513,1410724228.14819,-18.07,1
320820471,1410724260.2506,-17.84,1
320820472,1410724262.40305,-17.84,1
320820473,1410724264.53766,-17.83,1
320820474,1410724266.68416,-18.03,1
320820475,1410724268.82905,-17.9,1
320820476,1410724301.00492,-17.94,1
320820477,1410724303.15465,-17.92,1
320820478,1410724305.30273,-17.86,1
320820479,1410724307.41871,-17.85,1
320820480,1410724309.57054,-17.82,1
320821351,1410724341.77534,-18.03,1
320821352,1410724343.92176,-18.02,1
320821353,1410724346.07563,-18.09,1
320821354,1410724348.22192,-17.96,1
320821313,1410724382.56436,-17.96,1
320821314,1410724384.71255,-17.98,1
320821315,1410724386.85897,-18,1
320821316,1410724389.00537,-17.9,1
320821317,1410724421.17091,-17.93,1
320821318,1410724423.30373,-18.01,1
320821319,1410724425.45095,-17.96,1
320821320,1410724427.59581,-18.07,1
320821321,1410724429.71507,-18.01,1
320822166,1410724461.87058,-17.99,1
320822167,1410724464.0227,-18.04,1
320822168,1410724466.16685,-18.01,1
320822169,1410724468.29194,-17.99,1
320822170,1410724470.44007,-17.97,1
320822128,1410724502.92861,-18.03,1
320822129,1410724504.74518,-17.89,1
320822130,1410724506.89706,-18.02,1
320822131,1410724509.0355,-17.89,1
320822132,1410724511.20138,-17.82,1
320822133,1410724543.41828,-17.7,1
320822134,1410724545.55952,-17.91,1
320822135,1410724547.69788,-17.95,1
320822136,1410724549.84717,-17.88,1
320822137,1410724551.99649,-17.82,1
320823065,1410724584.30615,-17.76,1
320823066,1410724586.45195,-17.64,1
320823067,1410724588.60231,-17.69,1
320823068,1410724590.75236,-17.77,1
320823031,1410724625.24206,-17.91,1
320823032,1410724627.40014,-17.81,1
320823033,1410724629.5564,-17.81,1
320823034,1410724631.7153,-17.91,1
320823035,1410724664.35337,-17.84,1
320823036,1410724666.26083,-17.79,1
320823037,1410724668.39643,-17.66,1
320823038,1410724670.55541,-17.64,1
320823039,1410724672.71163,-17.84,1
320823716,1410724705.14203,-17.93,1
320823717,1410724707.29921,-17.76,1
320823718,1410724709.4757,-17.89,1
320823719,1410724711.6331,-17.8,1
320823720,1410724713.79625,-17.76,1
320823683,1410724787.37249,-17.71,1
320823684,1410724789.51346,-17.8,1
320823685,1410724791.6865,-17.8,1
320823686,1410724793.84465,-17.64,1
320823687,1410724796.01392,-17.63,1
320824359,1410724828.52399,-17.77,1
320824360,1410724830.67951,-17.58,1
320824361,1410724832.84248,-17.63,1
320824362,1410724835.02353,-17.7,1
320824324,1410724867.53326,-17.61,1
320824325,1410724869.70323,-17.69,1
320824326,1410724871.86448,-17.78,1
320824327,1410724874.03708,-17.76,1
320824328,1410724876.19768,-17.67,1
320824329,1410724908.72039,-17.59,1
320824330,1410724910.87376,-17.73,1
320824331,1410724913.0553,-17.6,1
320824332,1410724915.21344,-17.52,1
320824333,1410724917.39104,-17.46,1
320825369,1410724949.91192,-17.49,1
320825370,1410724952.06237,-17.77,1
320825371,1410724954.23868,-17.62,1
320825372,1410724956.4189,-17.54,1
320825330,1410724988.92458,-17.55,1
320825331,1410724991.09301,-17.66,1
320825332,1410724993.26304,-17.7,1
320825333,1410724995.42825,-17.75,1
320825334,1410724997.58791,-17.68,1
320825335,1410725030.08114,-17.66,1
320825336,1410725032.23835,-17.64,1
320825337,1410725034.41327,-17.69,1
320825338,1410725036.58734,-17.57,1
320825339,1410725038.73534,-17.64,1
320825910,1410725071.21853,-17.42,1
320825911,1410725073.37793,-17.54,1
320825912,1410725075.5587,-17.57,1
320825913,1410725077.73321,-17.53,1
320825876,1410725110.1405,-17.44,1
320825877,1410725112.29828,-17.68,1
320825878,1410725114.44224,-17.5,1
320825879,1410725116.60617,-17.45,1
320825880,1410725118.77347,-17.52,1
320825881,1410725151.09887,-17.52,1
320825882,1410725153.19561,-17.42,1
320825883,1410725155.34408,-17.56,1
320825884,1410725157.49955,-17.75,1
320825885,1410725159.64947,-17.58,1
320826587,1410725191.86221,-17.59,1
320826588,1410725193.99556,-17.56,1
320826589,1410725196.15882,-17.52,1
320826590,1410725198.30942,-17.58,1
320826591,1410725200.45519,-17.61,1
320826546,1410725232.63984,-17.39,1
320826547,1410725234.76541,-17.43,1
320826548,1410725236.9172,-17.53,1
320826549,1410725239.08065,-17.43,1
320826550,1410725273.35806,-17.44,1
320826551,1410725275.49845,-17.32,1
320826552,1410725277.6396,-17.28,1
320826553,1410725279.78819,-17.26,1
320827016,1410725314.00715,-17.7,1
320827017,1410725316.16048,-17.64,1
320827018,1410725318.29479,-17.59,1
320827019,1410725320.43493,-17.64,1
320826976,1410725354.7622,-17.56,1
320826977,1410725356.69075,-17.58,1
320826978,1410725358.88244,-17.68,1
320826979,1410725360.93862,-17.63,1
320826980,1410725394.92584,-17.49,1
